"df.data_coleta","od","dbo","turbidez","pH","coliformes","nt_total","p_total","temperatura","tds","IQA"
"2006-03-14",4.7,5,37,7.2,13000,0.56,0.27,26.1,203,39.5556647054907
"2006-05-09",4.4,5,8.5,7.2,7900,0.97,0.13,21.3,162,41.2589509833009
"2006-07-24",3.1,7,8.5,7.1,4600,2,0.4,21,258,41.2359001461265
"2006-09-26",1.3,6,12,7.1,3300,1,0.4,23.8,266,35.66987774974
"2006-11-21",0.4,6,32,7.2,17000,1,0.6,25.9,299,25.8414705801276
"2007-01-09",5.8,5,191,7.1,14000,0.18,0.13,26.1,334,23.9715307182462
"2007-03-13",3.1,7,41.1,7.1,24000,1.09,0.17,27.1,206,39.0647940270757
"2007-05-08",2.8,7,11,7.2,13000,0.8,0.3,22.6,210,38.9424551939777
"2007-07-18",4.1,19,118,6.8,49000,2,0.7,18.2,311,28.8541543261877
"2007-09-26",1.4,7,6.17,7.4,7900,2,0.8,20.2,353,30.7657679577612
"2007-11-28",2.9,8,18.7,7.2,110000,1,0.5,25.1,247,31.5521821203484
"2008-01-29",5.1,3,175,7,54000,0.2,0.5,23,362,21.5614959107022
"2008-03-11",2.4,7,38.1,7,49000,1,0.4,26,211,33.1298657649941
"2008-05-06",6.9,5,80,6.8,24000,0.05,0.3,21.3,210,42.9900140454588
"2008-07-16",4.5,6,11.7,7,13000,1,0.5,21.4,203,41.8633091260176
"2008-09-24",3.3,6,9.6,7.2,4900,2,0.4,20.1,215,41.5725983354506
"2008-11-26",2.6,6,21.8,7,16000,2.12,0.27,26.9,212,37.5459810908183
"2009-01-07",5.6,9,200,7.1,51000,0.5,1,24.7,303,19.5261372609239
"2009-03-03",4.6,5,79.6,6.9,60000,0.7,0.7,29,223,34.6708187811669
"2009-05-19",4.8,7,19.1,7.2,27000,2,1,21.3,183,35.4164470430776
"2009-07-29",5,8,42,7.1,15000,1,0.8,21.4,218,38.9210234642281
"2009-09-29",2.6,9,62.2,7.1,29000,1,0.8,24.2,244,32.4437085610162
"2009-11-17",4.1,8,230,7,15000,0.7,4,28.6,326,17.445212333349
"2010-01-25",6.3,6,245,6.9,220000,0.3,0.4,27.3,320,18.6447905438282
"2010-03-02",6.5,3,84.9,6.7,18000,0.2,0.2,24,436,47.4696213641321
"2010-05-18",4.9,5,17.7,6.9,10000,0.8,0.3,21.8,186,39.9200800797993
"2010-07-15",5.3,17,104,7.1,3000,2,0.7,19.6,248,39.0491470804585
"2010-09-28",2.4,12,38.9,7,31000,2,0.6,22.5,230,31.3265724705405
"2010-11-16",1.7,8,9.34,6.8,7300,2,0.4,24.8,224,35.1774244142068
"2011-01-24",5.9,3,190,7.1,40000,0.3,0.05,26.9,332,24.5541125281789
"2011-03-01",5.8,10,368,6.9,1e+05,0.6,0.2,24.9,434,13.2214502005389
"2011-05-18",5.3,6,14.4,7.3,30000,1,0.2,17.9,180,43.836914252631
"2011-07-19",4.7,6,10.8,7.3,8500,2,0.248,22.7,215,46.6409154429776
"2011-09-28",2.2,8,6.43,7.2,5700,2,0.414,22.3,253,37.739828038826
"2011-11-16",5.7,14,938,6.8,51000,0.4,0.076,22.4,938,35.8154496337299
